path,etag,lastmodified,Allow
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/8065d09e-459f-11ec-94ff-5fb05b379f3d.json,2021-11-15 04:36:29.79237904:36:298065d09f-459f-11ec-94ff-5fb05b379f3d,2021-11-15 04:36:29.79237904:36:29,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/8066f53c-459f-11ec-94ff-5fb05b379f3d/,2021-11-15 04:36:29.79959504:36:298066f53d-459f-11ec-94ff-5fb05b379f3d,2021-11-15 04:36:29.79959504:36:29,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/80682380-459f-11ec-94ff-5fb05b379f3d/,2021-11-15 04:36:29.80744304:36:2980682381-459f-11ec-94ff-5fb05b379f3d,2021-11-15 04:36:29.80744304:36:29,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/5bfb053c-45a2-11ec-94ff-5fb05b379f3d.json,2021-11-15 04:56:57.18422904:56:575bfb053d-45a2-11ec-94ff-5fb05b379f3d,2021-11-15 04:56:57.18422904:56:57,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/5bfbf5f0-45a2-11ec-94ff-5fb05b379f3d/,2021-11-15 04:56:57.19051104:56:575bfbf5f1-45a2-11ec-94ff-5fb05b379f3d,2021-11-15 04:56:57.19051104:56:57,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/5bfcc76e-45a2-11ec-94ff-5fb05b379f3d/,2021-11-15 04:56:57.19615004:56:575bfcc76f-45a2-11ec-94ff-5fb05b379f3d,2021-11-15 04:56:57.19615004:56:57,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/fad080bc-471c-11ec-8278-8bb1c45803ee.json,2021-11-17 02:07:13.43510802:07:13fad080bd-471c-11ec-8278-8bb1c45803ee,2021-11-17 02:07:13.43510802:07:13,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/fad5f8bc-471c-11ec-8278-8bb1c45803ee/,2021-11-17 02:07:13.46316402:07:13fad5f8bd-471c-11ec-8278-8bb1c45803ee,2021-11-17 02:07:13.46316402:07:13,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/fad6f62c-471c-11ec-8278-8bb1c45803ee/,2021-11-17 02:07:13.46990202:07:13fad6f62d-471c-11ec-8278-8bb1c45803ee,2021-11-17 02:07:13.46990202:07:13,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/322d8cd0-471d-11ec-8278-8bb1c45803ee.json,2021-11-17 02:08:46.31231802:08:46322d8cd1-471d-11ec-8278-8bb1c45803ee,2021-11-17 02:08:46.31231802:08:46,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/322f3742-471d-11ec-8278-8bb1c45803ee/,2021-11-17 02:08:46.32344402:08:46322f3743-471d-11ec-8278-8bb1c45803ee,2021-11-17 02:08:46.32344402:08:46,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/3230bcca-471d-11ec-8278-8bb1c45803ee/,2021-11-17 02:08:46.33260202:08:463230bccb-471d-11ec-8278-8bb1c45803ee,2021-11-17 02:08:46.33260202:08:46,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/323d04bc-471d-11ec-8278-8bb1c45803ee.json,2021-11-17 02:08:46.41302202:08:46323d04bd-471d-11ec-8278-8bb1c45803ee,2021-11-17 02:08:46.41302202:08:46,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/323ead58-471d-11ec-8278-8bb1c45803ee/,2021-11-17 02:08:46.42416502:08:46323ead59-471d-11ec-8278-8bb1c45803ee,2021-11-17 02:08:46.42416502:08:46,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/46745084-584d-11ec-bcab-4db68aff608e.json,2021-12-08 23:05:45.94020523:05:4546745085-584d-11ec-bcab-4db68aff608e,2021-12-08 23:05:45.94020523:05:45,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/4678950e-584d-11ec-bcab-4db68aff608e/,2021-12-08 23:05:45.96846523:05:454678950f-584d-11ec-bcab-4db68aff608e,2021-12-08 23:05:45.96846523:05:45,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/4679eecc-584d-11ec-bcab-4db68aff608e/,2021-12-08 23:05:45.97718723:05:454679eecd-584d-11ec-bcab-4db68aff608e,2021-12-08 23:05:45.97718723:05:45,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/4685c698-584d-11ec-bcab-4db68aff608e.json,2021-12-08 23:05:46.05470623:05:464685c699-584d-11ec-bcab-4db68aff608e,2021-12-08 23:05:46.05470623:05:46,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/468731ea-584d-11ec-bcab-4db68aff608e/,2021-12-08 23:05:46.06479023:05:46468731eb-584d-11ec-bcab-4db68aff608e,2021-12-08 23:05:46.06479023:05:46,"GET ,PUT , DELETE"
/home/aman/Desktop/CN_PROJECT/New Folder/AMAN_CN_FINAL/resources/46889b5c-584d-11ec-bcab-4db68aff608e/,2021-12-08 23:05:46.07358623:05:4646889b5d-584d-11ec-bcab-4db68aff608e,2021-12-08 23:05:46.07358623:05:46,"GET ,PUT , DELETE"
